1,1,TREASON,TREASON,0
1,2,TREASON,TREASON MISPRISION,0
1,3,TREASON,ESPIONAGE,0
1,4,TREASON,SABOTAGE,0
1,5,TREASON,SEDITION,0
1,6,TREASON,SELECTIVE SERVICE,0
1,99,TREASON,SOVEREIGNTY,0
2,1,MILITARY,MILITARY DESERTION,0
2,99,MILITARY,MILITARY (FREE TEXT),0
3,1,IMMIGRATION,ILLEGAL ENTRY,0
3,2,IMMIGRATION,FALSE CITIZENSHIP,0
3,3,IMMIGRATION,SMUGGLING ALIENS,0
3,99,IMMIGRATION,IMMIGRATION (FREE TEXT),0
9,1,HOMICIDE,HOMICIDE - WILLFUL KILL - FAMILY MEMBER - GUN,2
9,2,HOMICIDE,HOMICIDE - WILLFUL KILL-FAMILY-WEAPON,2
9,3,HOMICIDE,HOMICIDE-WILLFUL KILL-NONFAMILY-GUN,2
9,4,HOMICIDE,HOMICIDE-WILLFUL KILL-NONFAMILY-WEAPON,2
9,5,HOMICIDE,HOMICIDE-WILLFUL KILL-PUB OFF-GUN,2
9,6,HOMICIDE,HOMICIDE-WILLFUL KILL-PUB OFF-WEAPON,2
9,7,HOMICIDE,HOMICIDE-WILLFUL KILL-POL OFF-GUN,3
9,8,HOMICIDE,HOMICIDE-WILLFUL KILL-POL OFF-WEAPON,3
9,9,HOMICIDE,HOMICIDE - NEGLIG MANSL-VEH,1
9,10,HOMICIDE,HOMICIDE - NEGLIG MANS - WEAPON,2
9,11,HOMICIDE,HOMICIDE - WILLFUL KILL-GUN,2
9,12,HOMICIDE,HOMICIDE - WILLFUL KILL-WEAPON,2
9,13,HOMICIDE,HOMICIDE - JOHN OR JANE DOE - NO WARRANT,1
9,99,HOMICIDE,HOMICIDE,1
10,1,KIDNAPPING,KIDNAP MINOR FOR RANSOM,1
10,2,KIDNAPPING,KIDNAP ADULT FOR RANSOM,1
10,3,KIDNAPPING,KIDNAP MINOR TO SEXUALLY ASSLT,1
10,4,KIDNAPPING,KIDNAP ADULT TO SEXUALLY ASSLT,1
10,5,KIDNAPPING,KIDNAP MINOR,1
10,6,KIDNAPPING,KIDNAP ADULT,1
10,7,KIDNAPPING,KIDNAP HOSTAGE FOR ESCAPE,1
10,8,KIDNAPPING,ABDUCT - NO RANSOM OR ASSLT,1
10,9,KIDNAPPING,KIDNAP - HIJACK AIRCRAFT,1
10,10,KIDNAPPING,KIDNAP MINOR - PARENTAL,1
10,11,KIDNAPPING,KIDNAP MINOR - NONPARENTAL,1
10,20,KIDNAPPING,FALSE IMPRISONMENT - MINOR - NONPARENTAL,0
10,21,KIDNAPPING,FALSE IMPRISONMENT - MINOR - PARENTAL,0
10,99,KIDNAPPING,KIDNAPPING (FREE TEXT),1
11,1,SEXUAL ASSAULT,RAPE - GUN,2
11,2,SEXUAL ASSAULT,RAPE WITH WEAPON,2
11,3,SEXUAL ASSAULT,RAPE - STRONGARM,1
11,4,SEXUAL ASSAULT,SEX ASSLT - SODOMY-BOY-GUN,2
11,5,SEXUAL ASSAULT,SEX ASSLT - SODOMY-MAN-GUN,2
11,6,SEXUAL ASSAULT,SEX ASSLT - SODOMY-GIRL-GUN,2
11,7,SEXUAL ASSAULT,SEX ASSLT - SODOMY-WOMAN-GUN,2
11,8,SEXUAL ASSAULT,SEX ASSLT - SODOMY-BOY-WEAPON,2
11,9,SEXUAL ASSAULT,SEX ASSLT - SODOMY-MAN-WEAPON,2
11,10,SEXUAL ASSAULT,SEX ASSLT - SODOMY-GIRL-WEAPON,2
11,11,SEXUAL ASSAULT,SEX ASSLT - SODOMY-WOMAN-WEAPON,2
11,12,SEXUAL ASSAULT,SEX ASSLT - SODOMY-BOY-STGARM,1
11,13,SEXUAL ASSAULT,SEX ASSLT - SODOMY-MAN-STGARM,1
11,14,SEXUAL ASSAULT,SEX ASSLT - SODOMY-GIRL-STGARM,1
11,15,SEXUAL ASSAULT,SEX ASSLT - SODOMY-WOMAN-STGARM,1
11,16,SEXUAL ASSAULT,STAT RAPE - NO FORCE,0
11,17,SEXUAL ASSAULT,SEX ASSLT - CARNAL ABUSE,0
11,18,SEXUAL ASSAULT,RAPE - ELDERLY,1
11,19,SEXUAL ASSAULT,RAPE - DISABLED,1
11,20,SEXUAL ASSAULT,SEX ASSAULT - ELDERLY,1
11,21,SEXUAL ASSAULT,SEX ASSAULT - DISABLED,1
11,22,SEXUAL ASSAULT,RAPE - DRUG-INDUCED,1
11,23,SEXUAL ASSAULT,SEXUAL ASSAULT - DRUG-INDUCED,1
11,98,SEXUAL ASSAULT,RAPE - (FREE TEXT),1
11,99,SEXUAL ASSAULT,SEX ASSLT (FREE TEXT),1
12,1,ROBBERY,ROBBERY - BUSINESS-GUN,2
12,2,ROBBERY,ROBBERY - BUSINESS-WEAPON,2
12,3,ROBBERY,ROBBERY - BUSINESS-STGARM,1
12,4,ROBBERY,ROBBERY - STREET-GUN,2
12,5,ROBBERY,ROBBERY - STREET-WEAPON,2
12,6,ROBBERY,ROBBERY - STREET-STGARM,1
12,7,ROBBERY,ROBBERY - RESID-GUN,2
12,8,ROBBERY,ROBBERY - RESID-WEAPON,2
12,9,ROBBERY,ROBBERY - RESID-STGARM,1
12,10,ROBBERY,FORCIBLE PURSE SNATCHING,1
12,11,ROBBERY,ROBBERY - BANKING-TYPE INST,0
12,12,ROBBERY,ROBBERY-CARJACKING-ARMED,2
12,99,ROBBERY,ROBBERY (FREE TEXT),1
13,1,ASSAULT,AGGRAV ASSLT - FAMILY-GUN,2
13,2,ASSAULT,AGGRAV ASSLT - FAMILY-WEAPON,2
13,3,ASSAULT,AGGRAV ASSLT - FAMILY-STGARM,1
13,4,ASSAULT,AGGRAV ASSLT - NONFAMILY-GUN,2
13,5,ASSAULT,AGGRAV ASSLT - NONFAMILY-WEAPON,2
13,6,ASSAULT,AGGRAV ASSLT - NONFAMILY-STGARM,1
13,7,ASSAULT,AGGRAV ASSLT - PUB OFF-GUN,2
13,8,ASSAULT,AGGRAV ASSLT - PUB OFF-WEAPON,2
13,9,ASSAULT,AGGRAV ASSLT - PUB OFF-STGARM,1
13,10,ASSAULT,AGGRAV ASSLT - POL OFF-GUN,3
13,11,ASSAULT,AGGRAV ASSLT - POL OFF-WEAPON,3
13,12,ASSAULT,AGGRAV ASSLT - POL OFF-STGARM,3
13,13,ASSAULT,SIMPLE ASSLT,0
13,14,ASSAULT,AGGRAV ASSLT - GUN,2
13,15,ASSAULT,AGGRAV ASSLT - WEAPON,2
13,16,ASSAULT,INTIMIDATION (INCLUDES STALKING),0
13,99,ASSAULT,ASSAULT (FREE TEXT),1
14,1,HEALTH AND SAFETY - ABORTION,ABORTIONAL ACT ON OTHER,0
14,2,HEALTH AND SAFETY - ABORTION,ABORTIONAL ACT ON SELF,0
14,3,HEALTH AND SAFETY - ABORTION,SUBMISSION TO ABORTIONAL ACT,0
14,4,HEALTH AND SAFETY - ABORTION,"ABORTIFACIENT - (SELLING, MFG., DEL., ETC.)",0
14,99,HEALTH AND SAFETY - ABORTION,ABORTION (FREE TEXT),0
16,2,THREATS,THREAT - TERRORISTIC - STATE OFFENSES,1
20,1,ARSON,ARSON - BUSINESS-ENDANGERED LIFE,1
20,2,ARSON,ARSON - RESID-ENDANGERED LIFE,1
20,3,ARSON,ARSON - BUSINESS-DEFRAUD INSURER,0
20,4,ARSON,ARSON - RESID-DEFRAUD INSURER,0
20,5,ARSON,ARSON - BUSINESS,0
20,6,ARSON,ARSON - RESID,0
20,7,ARSON,BURNING OF SEE MIS,0
20,8,ARSON,ARSON - PUB-BLDG-ENDANGERED LIFE,1
20,9,ARSON,ARSON - PUB-BLDG,0
20,99,ARSON,ARSON (FREE TEXT),0
21,1,EXTORTION,EXTORT - THREAT INJURE PERSON,1
21,2,EXTORTION,EXTORT - THREAT DAMAGE PROP,0
21,3,EXTORTION,EXTORT - THREAT INJURE REPUTATION,0
21,4,EXTORTION,EXTORT - THREAT ACCUSE PERSON OF CRIME,0
21,5,EXTORTION,EXTORT - THREAT OF INFORMING OF VIO,0
21,99,EXTORTION,EXTORTION (FREE TEXT),0
22,1,BURGLARY,BURGL - SAFE-VAULT,0
22,2,BURGLARY,BURGL - FORCED ENTRY-RESID,0
22,3,BURGLARY,BURGL - FORCED ENTRY-NONRESID,0
22,4,BURGLARY,BURGL - NO FORCED ENTRY-RESID,0
22,5,BURGLARY,BURGL - NO FORCED ENTRY-NONRESID,0
22,6,BURGLARY,BURGL TOOLS - POSSESS,0
22,7,BURGLARY,BURGL - BANKING-TYPE INST,0
22,99,BURGLARY,BURGLARY (FREE TEXT),0
23,1,STEALING,POCKETPICKING,0
23,2,STEALING,PURSE SNATCHING - NO FORCE,0
23,3,STEALING,SHOPLIFTING,0
23,4,STEALING,STEAL - PARTS FROM VEH,0
23,5,STEALING,STEALING - FROM AUTO,0
23,6,STEALING,STEAL- FROM SHIPMENT,0
23,7,STEALING,STEAL- FROM COIN MACHINE,0
23,8,STEALING,STEAL- FROM BLDG,0
23,9,STEALING,STEAL- FROM YARDS,0
23,10,STEALING,STEAL- FROM MAILS,0
23,11,STEALING,STEAL- FROM BANKING-TYPE INST,0
23,12,STEALING,STEAL- FROM INTERSTATE SHIPMENT,0
23,13,STEALING,OBSTRUCT CORRESPONDENCE - (POSTAL),0
23,14,STEALING,THEFT OF US GOVT PROP,0
23,15,STEALING,STEAL ON US GOVT RESERVE,0
23,16,STEALING,STEAL- POSTAL,0
23,99,STEALING,STEALING (FREE TEXT),0
24,1,STEALING MOTOR VEHICLE,THEFT AND SALE VEH,0
24,2,STEALING MOTOR VEHICLE,THEFT AND STRIP VEH,0
24,3,STEALING MOTOR VEHICLE,THEFT AND USE VEH OTHER CRIME,0
24,4,STEALING MOTOR VEHICLE,VEHICLE THEFT,0
24,5,STEALING MOTOR VEHICLE,THEFT VEH BY BAILEE,0
24,6,STEALING MOTOR VEHICLE,RECEIV STOLEN VEH,0
24,7,STEALING MOTOR VEHICLE,STRIP STOLEN VEH,0
24,8,STEALING MOTOR VEHICLE,POSSESS STOLEN VEHICLE,0
24,9,STEALING MOTOR VEHICLE,INTERSTATE TRANSP STOLEN VEH,0
24,10,STEALING MOTOR VEHICLE,AIRCRAFT THEFT,0
24,11,STEALING MOTOR VEHICLE,UNAUTH USE OF VEH,0
24,99,STEALING MOTOR VEHICLE,STOLEN VEHICLE (FREE TEXT),0
25,1,FORGERY,FORGERY OF CHECKS,0
25,2,FORGERY,FORGERY OF,0
25,3,FORGERY,COUNTERFEITING OF,0
25,4,FORGERY,PASS FORGED - (USE PASS FOR UTTER AND/OR DISTRIBUTE),0
25,5,FORGERY,PASS COUNTERFEITED - (USE PASS FOR UTTER AND/OR DISTRIBUTE),0
25,6,FORGERY,POSSESS FORGED,0
25,7,FORGERY,POSSESS COUNTERFEITED,0
25,8,FORGERY,POSSESS TOOLS FOR FORGERY/COUNTERFEITING,0
25,9,FORGERY,TRANSPORT FORGED,0
25,10,FORGERY,TRANSPORT COUNTERFEITED,0
25,11,FORGERY,TRANSPORT TOOLS FOR FORGERY/COUNTERFEITING,0
25,89,FORGERY,FORGERY,0
25,99,FORGERY,COUNTERFEITING (FREE TEXT),0
26,1,FRAUD,FRAUD - CONFIDENCE GAME,0
26,2,FRAUD,FRAUD - SWINDLE,0
26,3,FRAUD,MAIL FRAUD,0
26,4,FRAUD,FRAUD - IMPERSON,0
26,5,FRAUD,FRAUD - ILLEG USE CREDIT CARDS,0
26,6,FRAUD,FRAUD - INSUFF FUNDS CHECK,0
26,7,FRAUD,FRAUD - FALSE STATEMENT,0
26,8,FRAUD,FRAUD BY WIRE,0
26,9,FRAUD,FRAUD AND ABUSE - COMPUTER,0
26,99,FRAUD,FRAUD (FREE TEXT),0
27,1,EMBEZZLEMENT,EMBEZZLE - BUSINESS PROP,0
27,2,EMBEZZLEMENT,EMBEZZLE - INTERSTATE SHIPMENT,0
27,3,EMBEZZLEMENT,EMBEZZLE - BANKING-TYPE INST,0
27,4,EMBEZZLEMENT,EMBEZZLE - PUBLIC PROP,0
27,5,EMBEZZLEMENT,EMBEZZLE - POSTAL,0
27,99,EMBEZZLEMENT,EMBEZZLE (FREE TEXT),0
28,1,STOLEN PROPERTY,SALE OF STOLEN PROP,0
28,2,STOLEN PROPERTY,TRANSPORT INTERSTATE STOLEN PROP,0
28,3,STOLEN PROPERTY,RECEIVE STOLEN PROP,0
28,4,STOLEN PROPERTY,POSSESS STOLEN PROP,0
28,5,STOLEN PROPERTY,CONCEAL STOLEN PROP,0
28,99,STOLEN PROPERTY,STOLEN PROPERTY (FREE TEXT),0
29,1,DAMAGE PROPERTY,DAMAGE PROP - BUSINESS,0
29,2,DAMAGE PROPERTY,DAMAGE PROP - PRIVATE,0
29,3,DAMAGE PROPERTY,DAMAGE PROP - PUBLIC,0
29,4,DAMAGE PROPERTY,DAMAGE PROP - BUSINESS-WITH EXPLOSIVE,2
29,5,DAMAGE PROPERTY,DAMAGE PROP - PRIVATE-WITH EXPLOSIVE,2
29,6,DAMAGE PROPERTY,DAMAGE PROP - PUBLIC-WITH EXPLOSIVE,2
29,99,DAMAGE PROPERTY,DAMAGE PROPERTY (FREE TEXT),0
35,1,DANGEROUS DRUGS,HALLUCINOGEN - MFR,0
35,2,DANGEROUS DRUGS,HALLUCINOGEN - DISTRIB,0
