Ref. Charge Code,Category,NCIC Category,Long Description,
565.024-001Y202009,Homicide,9,INVOLUNTARY MANSLAUGHTER 1ST DEGREE,
217.385-001Y202013,Assault,13,VIOLENCE TO AN EMPLOYEE OF DEPARTMENT OF CORRECTIONS OR TO AN INMATE BY AN INMATE,
565.020-001Y202009,Homicide,9,MURDER 1ST DEGREE,
565.021-001Y202009,Homicide,9,MURDER 2ND DEGREE,
565.021-002Y202009,Vehicular Homicide,9,MURDER 2ND DEGREE - VEHICULAR - INTOXICATED,
565.021-003Y202009,Homicide,9,"MURDER 2ND DEGREE - FELONY MURDER - DURING PERPETRATION/ATTEMPTED PERPETRATION/FLIGHT FROM PERPETRATION OF A FELONY, A PERSON DIES",
565.023-001Y202009,Homicide,9,VOLUNTARY MANSLAUGHTER,
565.050-001Y202013,Assault,13,ASSAULT 1ST DEGREE OR ATTEMPT - SERIOUS PHYSICAL INJURY OR SPECIAL VICTIM,
565.072-002Y202013,Assault,13,DOMESTIC ASSAULT 1ST DEGREE - 1ST OFFENSE,
565.050-002Y202013,Assault,13,ASSAULT 1ST DEGREE OR ATTEMPT,
570.030-014Y202023,Stealing,23,THEFT/STEALING OF ANY LIVESTOCK ANIMAL,
570.217-002Y202023,Stealing,23,MISAPPLICATION OF FUNDS OF FINANCIAL INSTITUTION,
570.219-001Y202023,Stealing,23,MAKING FALSE ENTRIES IN RECORDS OF FINANCIAL INSTITUTION,
565.110-001Y202010,Kidnapping,10,KIDNAPPING - 1ST DEGREE,
565.110-002Y202010,Kidnapping,10,KIDNAPPING - FACILITATING A FELONY - INFLICTING INJURY - TERRORIZING - 1ST DEGREE,
565.115-001Y202010,Kidnapping,10,CHILD KIDNAPPING,
565.153-001Y202010,Kidnapping,10,PARENTAL KIDNAPPING - DETAINS/CONCEALS WHEREABOUTS OF CHILD FOR 120 DAYS OR MORE,
569.040-001Y202020,Arson,20,ARSON 1ST DEGREE,
569.040-002Y202020,Arson,20,ARSON 1ST DEGREE - CAUSING SERIOUS PHYSICAL INJURY OR DEATH,
569.040-003Y202020,Arson,20,ARSON 1ST DEGREE - CAUSING SERIOUS PHYSICAL INJURY OR DEATH AS A RESULT OF FIRE OR EXPLOSION IN AN ATTEMPT TO PRODUCE METHAMPHETAMINE,
569.050-002Y202020,Arson,20,ARSON 2ND DEGREE - CAUSING SERIOUS PHYSICAL INJURY OR DEATH,
565.072-001Y202013,Assault,13,DOMESTIC ASSAULT 1ST DEGREE - SERIOUS PHYSICAL INJURY,
287.290-001N202026,Fraud,26,COLLECT WORKERS COMPENSATION INSURANCE COSTS FROM AN EMPLOYEE,
571.030-014Y202052,Weapons,52,"UNLAWFUL USE OF WEAPON - SUBSECTION 8 - CARRY INTO CHURCH, ELECTION PRECINCT, GOVERNMENT BUILDING",
571.030-015Y202052,Weapons,52,"UNLAWFUL USE OF WEAPON - SUBSECTION 9 - SHOOT AT/FROM MOTOR VEHICLE, AT PERSON, MOTOR VEHICLE OR BUILDING, RESULTING IN DEATH OR INJURY",
571.030-020Y202052,Weapons,52,"UNLAWFUL USE OF WEAPON - SUBSECTION 9 - SHOOT AT/FROM MOTOR VEHICLE, AT PERSON, MOTOR VEHICLE OR BUILDING",
351.574-001N202026,Fraud,26,TRANSACTING BUSINESS WITHOUT AUTHORITY,
351.265-001N202026,Fraud,26,REPRESENTATION OF A FALSIFIED PROXY,
329.060-001N202026,Fraud,26,PRACTICING AN OCCUPATION BEYOND THE EXPIRATION OF A TEMPORARY LICENSE WITHOUT BEING LICENSED IN COSMETOLOGY,
329.255-001N202026,Fraud,26,ENGAGE IN PRACTICE/BUSINESS OR OFFER TO ENGAGE/ENGAGING IN PERFORMANCE OF ANY ACTS WITHOUT A COSMETOLOGY LICENSE,
425.020-001N202026,Fraud,26,ACT/OFFER TO ACT AS DEBT ADJUSTER OTHER THAN UNDER DEBT MANAGEMENT/SETTLEMENT PLAN,
574.105-001Y202026,Fraud,26,MONEY LAUNDERING OR ATTEMPTED MONEY LAUNDERING,
288.380-001N202026,Fraud,26,MAKING FALSE STATEMENT REGARDING UNEMPLOYMENT BENEFITS,
303.024-002N202026,Fraud,26,POSSESS FRAUDULENT DOCUMENT/PHOTOCOPY/MOBILE IMAGE AS INSURANCE IDENTIFICATION CARD,
407.531-001N202026,Fraud,26,REMOVING/ALTERING POSTED NOTICE IN VEHICLE INDICATING TRUE MILEAGE,
150.100-001N202026,Fraud,26,DEALING AS A MERCHANT WITHOUT A LICENSE,
407.295-001Y202026,Fraud,26,VIOLATION IN USE OF AFTERMARKET CRASH PARTS PACIFYING USE IN REPAIR,
570.223-006Y202026,Fraud,26,IDENTITY THEFT OR ATTEMPTED IDENTITY THEFT - 1ST OFFENSE,
